pt_id,lat,lon,gvi_mean,gvi_median,gvi_std,headings_count,total_valid,total_veg,gvi_weighted
pt00000,41.006024,70.088589,22.48375,13.445,19.55645157522923,8,2038689,456298,22.38
pt00069,41.005981,70.088484,23.94375,18.384999999999998,22.745738023073372,8,2039504,486729,23.87
pt00072,41.005936,70.088377,22.20625,17.515,18.37218856043014,8,2033843,449289,22.09
pt00074,41.00589,70.088269,19.57,12.195,20.362749603837184,8,2031388,393296,19.36
pt00077,41.005843,70.088164,17.73875,13.795,17.80083259489366,8,2031141,357328,17.59
pt00080,41.005794,70.088058,16.815,14.200000000000001,10.975834494795503,8,2038231,341572,16.76
pt00082,41.005746,70.087952,17.013749999999998,16.625,9.03338085341569,8,2039541,346399,16.98
pt00085,41.005697,70.087849,20.14625,16.655,12.665097075371014,8,2037225,409656,20.11
pt00087,41.005646,70.087744,24.74125,17.689999999999998,16.289576366937407,8,2037031,502386,24.66
pt00090,41.005595,70.087643,24.732499999999998,24.545,12.299616428397847,8,2039893,504051,24.71
pt00093,41.005544,70.08754,23.1725,23.369999999999997,12.47862486700472,8,2043176,473103,23.16
pt00095,41.005496,70.087437,21.4725,15.945,16.576661519825308,8,2044146,438445,21.45
pt00098,41.005448,70.087332,16.615000000000002,10.245000000000001,13.092395830077416,8,2042375,339228,16.61
pt00100,41.0054,70.087225,13.932500000000001,13.795,9.55757702409081,8,2041968,284685,13.94
pt00103,41.005352,70.087121,13.86375,12.45,8.814340486632322,8,2044587,283417,13.86
pt00106,41.005303,70.087014,14.54,10.879999999999999,9.857885893319839,8,2043289,297199,14.55
pt00108,41.005256,70.086913,14.69875,13.32,9.959862932935229,8,2042523,300287,14.7
pt00111,41.005209,70.08681,16.085,13.094999999999999,9.083065876359464,8,2043064,328511,16.08
pt00113,41.005162,70.086707,18.195,11.33,13.3026377620595,8,2042576,371078,18.17
pt00116,41.005115,70.086602,17.8,12.33,14.127797320985929,8,2043487,363146,17.77
pt00118,41.005067,70.086498,16.79625,12.770000000000001,12.535831999854315,8,2043223,342643,16.77
pt00121,41.00502,70.086394,15.145,10.905000000000001,11.566329211490196,8,2043439,309043,15.12
pt00123,41.004972,70.086291,12.54,11.945,7.626262893074544,8,2044513,256162,12.53
pt00126,41.004924,70.086187,14.015,12.91,8.583770400337738,8,2037701,285442,14.01
pt00129,41.004877,70.086083,27.6025,22.08,20.321611121449713,8,2039340,561668,27.54
pt00131,41.004828,70.085979,34.0875,23.765,23.80124951701966,8,2036677,693034,34.03
pt00134,41.004781,70.085875,25.75625,22.15,17.48402040844317,8,2040105,525235,25.75
pt00136,41.004735,70.085771,18.14625,20.075,6.89402005364069,8,2042982,370720,18.15
pt00139,41.004689,70.085668,18.59625,14.06,14.185683867396534,8,2033264,376011,18.49
pt00141,41.004643,70.085564,11.86,8.405,9.323463488884988,8,2039559,241763,11.85
pt00144,41.004598,70.085461,7.91125,8.41,3.3617403549777185,8,2041546,161544,7.91
pt00146,41.004551,70.085352,7.28875,7.6,3.4135002458724717,8,2042919,148992,7.29
pt00149,41.004503,70.085245,8.0725,8.120000000000001,5.133505485672394,8,2043575,164972,8.07
pt00152,41.004455,70.085138,11.165000000000001,8.765,9.7955995951535,8,2042785,227926,11.16
pt00154,41.004407,70.08503,20.2175,22.43,15.332316710604621,8,2036081,410808,20.18
pt00157,41.004359,70.084922,29.001250000000002,30.375,14.739768788165284,8,2026351,586333,28.94
pt00160,41.004313,70.084819,30.556250000000002,32.785,12.877221236963909,8,2018776,615516,30.49
pt00162,41.004267,70.084716,35.86375,40.955,11.310344111854926,8,2022597,725502,35.87
pt00165,41.00422,70.084613,38.27625,35.2,14.11660717786982,8,2026327,775082,38.25
